r,l,t
-285.582058,500,9.635327
-28.07422,500,15.035116
-477.776156,500,21.718478
-212.132929,500,28.752925
-416.762355,500,35.337881
2014.230732,500,42.184093
-354.626597,500,49.660412
-373.621362,500,56.974195
-241.774363,500,62.618294
-396.920223,500,69.17217
1322.492674,500,76.368245
-343.289366,500,83.347148
-329.374076,500,90.726471
-150.692882,500,97.84668
-114.638256,500,105.265994
-222.16354,500,111.983449
-131.476166,500,118.840222
-367.383969,500,125.809193
-281.348145,500,132.590743
-218.359981,500,139.981603
-370.163805,500,147.532059
-381.34157,500,153.963111
-132.00003,500,160.834237
-497.656488,500,168.093679
-339.903109,500,174.798389
-498.996854,500,181.956298
-214.835454,500,189.465905
-337.051924,500,196.837498
-315.163904,500,203.355123
285.230105,500,210.480173
-302.040636,500,218.2759
-165.619738,500,225.418058
-374.369239,500,232.869064
-184.382842,500,239.8354
-344.510715,500,246.943553
-192.047497,500,254.549944
-192.079266,500,262.178047
-433.360571,500,269.073863
-285.191118,500,276.329872
-462.905015,500,283.719335
-377.974229,500,290.124852
-382.541654,500,296.188649
-222.240458,500,303.269176
-276.974785,500,310.81701
-191.498579,500,317.12878
-176.360205,500,325.00994
-252.401657,500,331.753813
-306.959375,500,339.382009
-271.560199,500,346.702892
-147.364566,500,353.878618
-221.953254,500,361.2243
-174.017944,500,368.700263
-237.405072,500,375.848598
-144.625228,500,383.153709
-348.901894,500,390.797384
-211.42811,500,397.713551
-296.561819,500,404.572126
-211.125759,500,411.382837
-351.324347,500,418.846004
-456.290473,500,426.134839
-242.709168,500,432.749465
-240.001668,500,439.906512
-204.642594,500,446.049224
-256.08098,500,453.368778
-185.444192,500,460.403682
-249.858501,500,467.596509
-174.484352,500,474.915479
-232.702563,500,482.654289
-481.015937,500,490.259986
-147.70011,500,498.100329
-377.820205,500,505.861983
-355.166126,500,513.40962
-304.389452,500,520.524458
-161.918662,500,527.709965
-452.976314,500,535.335803
-448.237826,500,542.537059
-99.075342,500,550.27057
-113.525726,500,557.870695
-133.666784,500,563.996968
-344.103442,500,571.611761
-391.463592,500,579.159902
699.23584,500,585.850883
-314.954651,500,593.183228
-451.890525,500,599.682361
-171.929179,500,607.124783
-235.221982,500,614.788059
-436.475599,500,621.828046
-286.416617,500,628.530538
-118.095052,500,636.226461
-93.125497,500,644.131953
-198.574498,500,651.105517
274.899319,500,658.792544
-341.2483,500,665.292524
1207.795297,500,672.887748
-219.580082,500,680.120827
-386.988834,500,687.285378
-273.279986,500,693.912041
-480.088809,500,701.183444
-283.812863,500,707.917785
-99.59209,500,715.407616
-298.736024,500,722.853454
-192.188455,500,730.087527
-132.692311,500,737.674506
-162.784732,500,744.976568
-178.538368,500,752.711678
-247.937571,500,759.564682
-502.615521,500,766.946092
-138.425804,500,774.736804
-128.802947,500,781.369138
-131.63429,500,789.14188
-120.33143,500,796.88763
-145.737711,500,804.235467
-288.556411,500,811.745143
-110.17049,500,818.83903
516.944569,500,826.46613
-248.498169,500,834.504011
-523.465401,500,841.549115
-510.12573,500,848.795237
-331.926164,500,856.037011
-487.513109,500,863.766025
-116.998702,500,870.839702
-118.28647,500,878.105421
-219.337638,500,884.631692
405.314665,500,892.695511
-207.82909,500,900.821932
-228.022058,500,908.533849
-211.945265,500,915.299561
-264.234139,500,922.896146
-193.258894,500,929.959459
-152.340498,500,936.372844
423.18047,500,943.620301
-193.316854,500,951.487303
-444.683522,500,959.174916
-92.568816,500,966.049673
-148.352624,500,973.909855
7240.624128,500,981.714065
-376.732211,500,990.02651
32.633113,500,997.068967
-421.194199,500,1004.154305
-254.896194,500,1011.514286
-493.940102,500,1019.091242
-463.50453,500,1026.940511
939.354711,500,1034.739465
-106.054929,500,1041.58166
-416.404532,500,1049.552505
-157.513778,500,1057.154409
-279.812835,500,1065.048761
-249.556766,500,1073.011506
-326.135865,500,1081.197335
-266.126597,500,1089.06417
-223.058386,500,1096.66873
-432.978696,500,1104.712284
-236.448161,500,1112.839681
-425.485169,500,1118.352412
-152.35036,500,1126.115809
-293.104219,500,1133.042017
-290.66189,500,1141.358586
-461.387252,500,1149.392748
-177.967059,500,1158.459585
-269.915647,500,1166.01887
-104.151843,500,1174.161478
-105.118181,500,1181.886448
-131.146642,500,1190.322223
-117.996689,500,1199.687324
-209.958719,500,1208.202415
-180.506328,500,1216.660617
-133.09624,500,1225.810015
-278.352708,500,1234.852649
-173.818391,500,1244.31593
-238.84266,500,1253.450013
-143.92706,500,1262.082261
-140.387049,500,1271.078746
-444.201774,500,1280.476989
-442.078991,500,1289.814517
-417.32459,500,1298.595946
-130.919054,500,1307.537909
-364.664393,500,1316.441128
-295.860536,500,1325.315457
-219.190755,500,1334.247936
-176.935559,500,1343.214337
-268.194255,500,1351.881294
-300.071973,500,1360.847379
-299.876884,500,1370.12597
-367.432124,500,1379.2769
-157.94585,500,1386.916493
-138.880166,500,1395.050967
-124.61231,500,1403.295961
-194.998392,500,1412.090168
-408.035793,500,1420.902841
-193.282261,500,1430.397993
-179.088251,500,1438.479261
-183.504444,500,1446.928578
-366.073788,500,1456.128275
-154.21308,500,1465.287192
-200.961293,500,1472.731581
-214.841368,500,1481.46373
-338.322801,500,1490.50324
-245.093017,500,1498.111265
-225.646294,500,1506.249113
-84.982955,500,1515.221525
-439.100555,500,1525.033297
-160.384634,500,1533.770562
-397.337675,500,1542.500372
-298.336818,500,1550.451633
423.252432,500,1559.162171
-111.069168,500,1567.459638
-300.397422,500,1576.921454
-217.525526,500,1585.230241
-326.103281,500,1593.699667
-278.842274,500,1603.165972
-244.595813,500,1610.708891
-259.880726,500,1619.702782
-92.751892,500,1628.958727
9356.285903,500,1638.641231
-271.746059,500,1647.573214
-121.970739,500,1657.079775
-141.607827,500,1666.01832
-214.428669,500,1675.564725
-224.885354,500,1684.820244
-171.808111,500,1693.948414
-122.711194,500,1703.129427
-276.905673,500,1712.08315
-135.068417,500,1719.721423
-356.055581,500,1728.502422
-479.657826,500,1737.451972
-335.262146,500,1746.120559
-197.813807,500,1754.227379
-355.261492,500,1761.993169
-225.726095,500,1770.888995
-370.760007,500,1779.895676
-249.841811,500,1789.079875
-443.581392,500,1796.879516
-104.836818,500,1806.521527
169.963069,500,1815.894624
-315.229311,500,1823.83228
-356.193272,500,1832.455473
-233.177908,500,1840.38572
-388.200991,500,1848.547909
-276.400416,500,1857.517903
-285.373536,500,1865.718415
-257.759852,500,1875.416729
-118.586413,500,1884.774819
-101.809238,500,1894.704399
-138.319289,500,1903.387181
-159.561968,500,1911.780466
-326.048297,500,1920.14794
-392.041149,500,1928.465995
-485.876622,500,1936.702166
-409.091964,500,1946.11067
-266.189661,500,1955.020192
-103.76697,500,1962.656551
-348.2746,500,1970.668234
-134.652231,500,1979.147611
-287.351022,500,1987.945389
-167.106221,500,1997.294665
11661.993796,500,2006.080214
-355.121874,500,2015.374332
-68.846914,500,2024.69962
-254.128729,500,2033.656428
22.775463,500,2043.299513
-463.564192,500,2051.565248
-309.118543,500,2060.76256
-106.103313,500,2070.514544
-257.325308,500,2079.703954
-203.93281,500,2088.569688
-373.476148,500,2097.084697
-124.377198,500,2105.613781
-235.55907,500,2113.830132
-147.148621,500,2123.147857
-293.069818,500,2131.861966
-445.473074,500,2140.538178
-137.381132,500,2150.057782
-265.806592,500,2159.801484
-246.870912,500,2169.1027
-124.179523,500,2177.772909
-276.756882,500,2187.678514
-314.015779,500,2197.045044
-283.977724,500,2206.973465
-175.680843,500,2216.924269
-384.283135,500,2226.754544
-71.686285,500,2236.528393
-519.649968,500,2244.965882
-342.471908,500,2254.159177
-386.33991,500,2263.802011
-353.422658,500,2273.132447
-277.856566,500,2281.156407
-385.949354,500,2291.214436
-467.487459,500,2299.002908
-77.679077,500,2309.240212
725.78711,500,2319.450634
-448.727028,500,2328.6352
-252.5166,500,2337.907379
-174.342027,500,2345.918853
-279.748728,500,2353.782099
-107.063037,500,2362.667253
7651.770731,500,2371.644033
1650.588245,500,2380.913983
-217.133329,500,2389.704368
-172.960208,500,2398.087482
-329.528326,500,2407.63968
-231.920273,500,2417.114949
-422.102853,500,2426.586139
-300.430047,500,2436.368479
-99.946493,500,2445.975708
-425.794894,500,2455.403028
-95.23223,500,2464.836264
-222.141404,500,2473.747995
-276.738654,500,2481.641275
2114.136025,500,2489.024756
-122.776922,500,2498.912363
-254.939918,500,2508.219949
-88.813882,500,2516.189157
-348.071815,500,2524.927877
-203.127643,500,2534.070397
-206.616264,500,2543.644311
-203.214892,500,2552.950612
-317.422493,500,2562.115229
-98.790997,500,2572.108897
-463.701492,500,2581.356006
-133.353169,500,2589.452994
-318.398397,500,2598.881471
-158.228233,500,2608.391531
-233.46313,500,2618.089831
-230.421727,500,2627.266364
-125.001137,500,2636.36757
-151.597374,500,2645.216542
-152.594633,500,2653.897955
